date,code,qfq_open,qfq_high,qfq_low,qfq_close,qfq_avg,f1mv_open,f1mv_high,f1mv_low,f1mv_close,f1mv_qfq_open,f1mv_qfq_high,f1mv_qfq_low,f1mv_qfq_close,f1mv_qfq_avg,f20max_f1mv_high,f20min_f1mv_low,f5max_f1mv_high,f5min_f1mv_low,curr_type,delist_date,enname,fullname,list_date,list_status,name,symbol
2018-07-16,000011.SZ,10.27,10.370000000000001,10.11,10.219999999999999,10.217545340143609,35.8955,36.00055999999999,35.440239999999996,35.860479999999995,10.25,10.28,10.12,10.24,10.215278940476956,44.72053999999999,34.35462,36.210679999999996,34.35462,CNY,,Shenzhen Properties & Resources Development (Group) Ltd.,深圳市物业发展(集团)股份有限公司,19920330,L,深物业A,000011
2018-07-16,000012.SZ,4.92,4.92,4.84,4.91,4.880576579804352,116.3358,116.3358,114.19901999999999,115.38612,4.9,4.9,4.81,4.86,4.842969254185792,126.30744000000001,113.24933999999999,118.23516000000001,113.24933999999999,CNY,,"CSG Holding Co.,Ltd.",中国南玻集团股份有限公司,19920228,L,南玻A,000012
2018-07-16,000016.SZ,5.03,5.06,4.96,4.97,4.994867978026773,105.87,106.50522000000001,104.8113,105.87,5.0,5.03,4.95,5.0,4.993713990516281,106.92869999999999,89.35427999999999,106.71696,98.03562,CNY,,"Konka Group Co.,Ltd",康佳集团股份有限公司,19920327,L,深康佳A,000016
2018-07-16,000021.SZ,6.81,7.02,6.78,6.91,6.89491761622717,95.17792,95.86962,94.07119999999999,95.86962,6.88,6.93,6.8,6.93,6.877334998541551,100.01982000000001,85.49412,99.32812,92.96448,CNY,,"Shenzhen Kaifa Technology Co., Ltd.",深圳长城开发科技股份有限公司,19940202,L,深科技,000021
2018-07-16,000025.SZ,31.4,32.34,31.4,32.01,31.911313940889926,60.55727999999999,60.55727999999999,59.52163,60.16185,32.16,32.16,31.61,31.95,31.82168444471113,63.89019,54.24923,60.72675,58.97556,CNY,,"Shenzhen Tellus Holding Co.,Ltd",深圳市特力(集团)股份有限公司,19930621,L,特力A,000025
2018-07-16,000027.SZ,4.88,4.88,4.840000000000001,4.840000000000001,4.850126634174891,65.24064,65.24064,64.03247999999999,64.16672,4.86,4.86,4.77,4.78,4.796829925533318,69.8048,64.03247999999999,66.98576,64.03247999999999,CNY,,"Shenzhen Energy Group Co., Ltd.",深圳能源集团股份有限公司,19930903,L,深圳能源,000027
2018-07-16,000028.SZ,48.5,48.93,47.75,48.0,48.050832170505906,188.1728,188.7584,177.82719999999998,180.48191999999997,48.2,48.35,45.55,46.23,46.37391493949887,188.7584,154.71552,188.7584,171.22943999999998,CNY,,China National Accord Medicines Corporation Ltd.,国药集团一致药业股份有限公司,19930809,L,国药一致,000028
2018-07-16,000030.SZ,5.1446306641837385,5.21415270018622,5.061204220980758,5.158535071384234,5.113619963955562,16.5984,16.620800000000003,16.3744,16.620800000000003,5.151582867783985,5.158535071384234,5.082060831781503,5.158535071384234,5.11988676522632,17.203200000000002,14.6601,17.0912,16.3744,CNY,,FAWER Automotive Parts Limited Company,富奥汽车零部件股份有限公司,19930929,L,富奥股份,000030
2018-07-16,000031.SZ,5.889999999999999,5.889999999999999,5.77,5.81,5.814586088897708,81.35743,82.33764,80.51725,81.2174,5.81,5.88,5.75,5.8,5.810814462433249,87.93884,78.55683,82.6177,79.25698,CNY,,"COFCO Property (Group) Co.,Ltd.",中粮地产(集团)股份有限公司,19931008,L,中粮地产,000031
2018-07-17,000001.SZ,8.74,8.75,8.66,8.72,8.695657110671345,945.27125,956.07435,938.78939,939.8697,8.75,8.85,8.69,8.7,8.772635379986664,1036.01729,930.1469099999999,1036.01729,930.1469099999999,CNY,,"Ping An Bank Co., Ltd.",平安银行股份有限公司,19910403,L,平安银行,000001
2018-07-17,000002.SZ,22.182724927804415,22.40407098999075,21.797775254436875,22.115358734965096,22.03429503586934,3160.646,3164.7650000000003,3078.2660000000005,3085.1310000000003,22.15385370230185,22.182724927804415,21.576429192250544,21.624547901421483,21.797808411478595,3444.8570000000004,2817.396,3444.8570000000004,3023.346,CNY,,"China Vanke Co.,Ltd.",万科企业股份有限公司,19910129,L,万科A,000002
2018-07-17,000006.SZ,5.47,5.51,5.44,5.5,5.473350986812808,188.92752,189.9543,187.21622,187.21622,5.52,5.55,5.47,5.47,5.519031528283584,214.59702,182.42458,200.56436,182.42458,CNY,,"Shenzhen Zhenye(Group) Co.,Ltd.",深圳市振业(集团)股份有限公司,19920427,L,深振业A,000006
2018-07-17,000008.SZ,,,,,,,,,,,,,,,,,,,CNY,,"China High Speed Railway Technology Co., Ltd.",神州高铁技术股份有限公司,19920507,L,神州高铁,000008
2018-07-17,000009.SZ,4.980309614340032,5.279128191200434,4.880703422053233,5.179521998913635,5.0858108220236335,37.77525,38.7288,37.5552,37.701899999999995,5.129718902770233,5.2592069527430745,5.099837045084193,5.119758283541553,5.173219453573823,38.7288,33.72712,38.7288,36.01485,CNY,,"China Baoan Group Co.,Ltd.",中国宝安集团股份有限公司,19910625,L,中国宝安,000009
2018-07-17,000011.SZ,10.25,10.28,10.12,10.24,10.215278940476956,35.8955,36.210679999999996,35.615339999999996,35.8955,10.25,10.34,10.17,10.25,10.257503544824248,44.72053999999999,34.35462,36.9461,34.35462,CNY,,Shenzhen Properties & Resources Development (Group) Ltd.,深圳市物业发展(集团)股份有限公司,19920330,L,深物业A,000011
2018-07-17,000012.SZ,4.9,4.9,4.81,4.86,4.842969254185792,115.62354,116.3358,114.91128,115.14869999999999,4.87,4.9,4.84,4.85,4.869569605860387,126.30744000000001,113.24933999999999,123.22098000000001,113.24933999999999,CNY,,"CSG Holding Co.,Ltd.",中国南玻集团股份有限公司,19920228,L,南玻A,000012
2018-07-17,000016.SZ,5.0,5.03,4.95,5.0,4.993713990516281,106.50522000000001,106.71696,105.02304,105.02304,5.03,5.04,4.96,4.96,4.99270511535011,106.92869999999999,89.35427999999999,106.71696,98.03562,CNY,,"Konka Group Co.,Ltd",康佳集团股份有限公司,19920327,L,深康佳A,000016
2018-07-17,000021.SZ,6.88,6.93,6.8,6.93,6.877334998541551,96.69966,99.32812,95.86962,95.86962,6.99,7.18,6.93,6.93,7.055929583466846,100.01982000000001,85.49412,99.32812,92.96448,CNY,,"Shenzhen Kaifa Technology Co., Ltd.",深圳长城开发科技股份有限公司,19940202,L,深科技,000021
2018-07-17,000025.SZ,32.16,32.16,31.61,31.95,31.82168444471113,60.16185,60.72675,59.78525,60.256,31.95,32.25,31.75,32.0,32.009048187701644,63.89019,54.24923,61.9507,58.97556,CNY,,"Shenzhen Tellus Holding Co.,Ltd",深圳市特力(集团)股份有限公司,19930621,L,特力A,000025
2018-07-17,000027.SZ,4.86,4.86,4.77,4.78,4.796829925533318,64.16672,65.37488,64.16672,64.83792,4.78,4.87,4.78,4.83,4.826045485028225,69.8048,64.16672,69.8048,64.16672,CNY,,"Shenzhen Energy Group Co., Ltd.",深圳能源集团股份有限公司,19930903,L,深圳能源,000027
2018-07-17,000028.SZ,48.2,48.35,45.55,46.23,46.37391493949887,180.48191999999997,183.25376,180.44288,181.73119999999997,46.23,46.94,46.22,46.55,46.58476943667114,183.25376,154.71552,183.25376,171.22943999999998,CNY,,China National Accord Medicines Corporation Ltd.,国药集团一致药业股份有限公司,19930809,L,国药一致,000028
2018-07-17,000030.SZ,5.151582867783985,5.158535071384234,5.082060831781503,5.158535071384234,5.11988676522632,16.6432,16.8,16.5536,16.7104,5.165487274984482,5.21415270018622,5.137678460583488,5.186343885785226,5.17798133890946,17.203200000000002,14.6601,17.203200000000002,16.486400000000003,CNY,,FAWER Automotive Parts Limited Company,富奥汽车零部件股份有限公司,19930929,L,富奥股份,000030
