date,code,layer2_l2_y_l_r_pred,layer2_l2_y_l_r_tree0_leaf,layer2_l2_y_l_r_tree1_leaf,layer2_l2_y_l_r_tree2_leaf,layer2_l2_y_l_r_tree3_leaf,layer2_l2_y_l_r_tree4_leaf,layer2_l2_y_l_r_tree5_leaf,layer2_l2_y_l_r_tree6_leaf,layer2_l2_y_l_r_tree7_leaf,layer2_l2_y_l_r_tree8_leaf,layer2_l2_y_l_r_tree9_leaf,layer2_l2_y_l_r_tree10_leaf,layer2_l2_y_l_r_tree11_leaf,layer2_l2_y_l_r_tree12_leaf,layer2_l2_y_l_r_tree13_leaf,layer2_l2_y_l_r_tree14_leaf,layer2_l2_y_l_r_tree15_leaf,layer2_l2_y_l_r_tree16_leaf,layer2_l2_y_l_r_tree17_leaf,layer2_l2_y_l_r_tree18_leaf,layer2_l2_y_l_r_tree19_leaf,layer2_l2_y_l_r_tree20_leaf,layer2_l2_y_l_r_tree21_leaf,layer2_l2_y_l_r_tree22_leaf,layer2_l2_y_l_r_tree23_leaf,layer2_l2_y_l_r_tree24_leaf,layer2_l2_y_l_r_tree25_leaf,layer2_l2_y_l_r_tree26_leaf,layer2_l2_y_l_r_tree27_leaf,layer2_l2_y_l_r_tree28_leaf,layer2_l2_y_l_r_tree29_leaf
20190220,000065.SZ,0.037559449351444354,29,19,4,8,13,18,16,28,4,6,23,16,30,20,12,20,15,26,20,4,29,4,22,12,1,8,5,29,14,12
20190220,000066.SZ,-0.03202617316780466,7,2,28,22,20,14,2,29,13,24,10,15,13,17,30,25,9,10,7,27,26,17,18,28,9,22,4,28,14,22
20190220,000069.SZ,0.024882361679646237,29,25,4,23,4,18,26,27,4,4,23,7,30,13,12,20,15,26,20,4,29,6,22,12,9,8,5,29,1,12
20190220,000070.SZ,-0.04930228144186036,2,2,15,12,10,11,2,11,2,24,2,13,2,2,24,21,0,20,30,22,26,13,18,29,9,12,16,0,19,22
20190220,000078.SZ,0.008781345725637347,12,16,12,4,4,8,24,27,9,4,23,7,23,20,12,20,25,29,20,25,29,4,5,12,1,2,5,29,14,3
20190220,000088.SZ,0.02000654698862864,9,24,9,8,18,9,8,21,8,6,4,29,12,4,11,15,15,7,4,14,24,2,2,4,9,22,16,0,19,22
20190220,000089.SZ,0.04087013487919746,29,19,4,8,13,18,16,28,4,6,23,16,30,20,12,20,15,26,20,7,29,6,5,5,1,8,5,29,14,12
20190220,000090.SZ,0.023628648732418205,29,25,4,23,4,18,26,27,4,4,23,7,30,13,12,20,15,29,20,7,29,6,22,4,1,2,5,9,1,12
20190220,000096.SZ,0.006764741299650315,12,30,12,14,20,8,9,27,9,24,8,15,23,20,12,20,9,9,20,25,12,4,5,5,1,2,28,30,14,11
20190220,000100.SZ,0.03325345387406631,29,19,4,8,13,18,16,21,4,6,23,16,30,20,12,20,15,29,20,25,29,4,22,4,1,7,1,30,14,12
20190220,000150.SZ,-0.1009117128617343,2,2,13,2,6,5,5,2,5,2,2,20,2,2,24,7,0,20,0,22,15,13,18,28,12,4,8,0,18,22
20190220,000155.SZ,0.02548115828158738,4,19,9,8,13,18,8,21,4,6,8,16,4,13,30,20,15,9,20,25,12,8,22,4,9,2,5,30,1,4
20190220,000156.SZ,0.010217069458038115,12,4,12,4,4,8,26,27,9,4,23,7,30,13,7,20,25,29,20,25,29,8,5,4,9,2,1,30,1,4
20190220,000157.SZ,0.028596106509023472,29,25,4,23,13,18,26,28,4,4,23,16,30,20,7,20,15,26,20,4,29,8,5,12,19,8,5,29,14,4
20190220,000158.SZ,0.015440954461408253,29,25,4,23,13,18,26,21,4,4,23,16,21,20,11,4,15,29,20,27,24,8,22,12,9,2,5,9,14,4
20190220,000166.SZ,0.03120283146365441,29,25,4,23,13,18,26,28,4,4,23,11,30,20,12,20,15,26,20,4,29,4,22,12,9,8,1,29,14,12
20190220,000301.SZ,-0.007451726455033403,12,16,15,17,20,8,9,29,9,24,10,7,23,17,12,4,25,26,20,4,29,6,5,12,1,2,5,2,14,12
20190220,000333.SZ,0.0045302181922015905,12,16,12,4,4,8,9,27,9,4,19,7,9,13,12,4,25,4,20,4,13,4,22,12,1,8,5,9,1,3
20190220,000338.SZ,0.028063573154660435,29,25,4,23,13,18,26,28,4,4,23,7,30,13,12,20,15,26,20,4,29,4,22,4,7,8,5,29,1,12
20190220,000400.SZ,0.036299620590090745,9,24,9,8,13,18,20,21,30,16,20,29,5,13,12,24,15,8,20,7,23,4,5,4,1,22,5,30,1,12
20190220,000401.SZ,0.014876552504897209,4,25,4,23,13,18,26,21,4,4,20,16,4,20,12,15,15,29,20,27,24,4,5,4,1,2,5,30,14,12
20190220,000402.SZ,0.007339475175461121,12,4,12,4,4,8,26,27,9,4,23,7,21,20,7,4,25,26,4,4,13,8,7,12,19,8,5,29,14,4
20190220,000407.SZ,0.013011502504496486,29,4,12,4,4,8,26,27,4,4,23,7,21,20,7,4,15,26,4,4,13,8,7,12,19,2,5,29,14,4
20190220,000413.SZ,-0.01803511089829659,19,4,19,4,4,30,26,27,13,4,20,8,12,4,11,15,15,29,4,14,24,2,2,4,19,22,5,30,1,22
20190220,000415.SZ,0.03471262668241605,29,19,4,8,13,18,16,28,4,6,23,16,30,20,12,20,15,29,20,7,29,4,22,5,1,7,5,30,14,12
20190220,000417.SZ,0.026008440482584265,29,25,4,23,4,18,26,27,4,4,23,7,21,20,12,4,15,26,20,7,29,6,5,12,1,8,5,29,14,12
20190220,000418.SZ,0.0008906294378112428,12,16,12,4,4,8,9,27,9,4,19,7,23,13,7,4,25,4,4,4,13,8,7,12,19,8,4,14,1,4
20190220,000423.SZ,0.006113550462687615,12,4,12,4,4,8,26,27,9,4,30,7,21,4,7,4,15,26,4,4,29,8,7,12,9,8,17,29,19,4
