date,code,layer2_l2_y_l_r_pred,layer2_l2_y_l_r_tree0_leaf,layer2_l2_y_l_r_tree1_leaf,layer2_l2_y_l_r_tree2_leaf,layer2_l2_y_l_r_tree3_leaf,layer2_l2_y_l_r_tree4_leaf,layer2_l2_y_l_r_tree5_leaf,layer2_l2_y_l_r_tree6_leaf,layer2_l2_y_l_r_tree7_leaf,layer2_l2_y_l_r_tree8_leaf,layer2_l2_y_l_r_tree9_leaf,layer2_l2_y_l_r_tree10_leaf,layer2_l2_y_l_r_tree11_leaf,layer2_l2_y_l_r_tree12_leaf,layer2_l2_y_l_r_tree13_leaf,layer2_l2_y_l_r_tree14_leaf,layer2_l2_y_l_r_tree15_leaf,layer2_l2_y_l_r_tree16_leaf,layer2_l2_y_l_r_tree17_leaf,layer2_l2_y_l_r_tree18_leaf,layer2_l2_y_l_r_tree19_leaf,layer2_l2_y_l_r_tree20_leaf,layer2_l2_y_l_r_tree21_leaf,layer2_l2_y_l_r_tree22_leaf,layer2_l2_y_l_r_tree23_leaf,layer2_l2_y_l_r_tree24_leaf,layer2_l2_y_l_r_tree25_leaf,layer2_l2_y_l_r_tree26_leaf,layer2_l2_y_l_r_tree27_leaf,layer2_l2_y_l_r_tree28_leaf,layer2_l2_y_l_r_tree29_leaf
20190218,000001.SZ,0.028802386454550088,19,4,17,19,4,24,4,21,8,26,6,18,13,29,8,21,15,13,22,11,7,12,8,7,26,16,11,16,15,2
20190218,000002.SZ,-0.008668848561770331,14,28,4,19,10,16,18,8,17,4,2,21,8,29,8,14,23,18,26,10,12,20,27,7,9,2,10,17,15,2
20190218,000006.SZ,0.0025873526730457058,14,10,9,19,7,16,8,8,17,4,6,15,8,29,25,14,5,19,6,10,12,20,2,2,9,23,10,21,15,2
20190218,000008.SZ,0.02911305607514089,9,30,24,9,9,28,9,21,8,4,11,15,13,4,8,14,5,13,6,10,12,20,8,2,9,2,11,21,15,2
20190218,000009.SZ,0.024856429510303982,9,30,24,9,9,28,9,4,4,4,11,10,4,4,8,14,15,9,22,4,12,12,27,7,26,23,11,21,2,2
20190218,000011.SZ,0.008336097580916194,14,10,4,19,7,16,8,8,17,4,6,15,8,29,8,14,15,19,22,10,12,30,27,7,26,23,11,21,15,2
20190218,000012.SZ,0.033001473932437325,9,30,24,9,4,24,4,21,4,26,14,18,4,13,8,21,15,9,22,11,7,12,27,7,26,16,11,16,2,2
20190218,000016.SZ,0.02440552896879292,19,4,17,19,4,24,4,21,17,26,6,15,13,6,8,21,15,9,22,11,7,20,8,7,22,14,11,16,15,2
20190218,000021.SZ,0.036962644887313365,9,30,24,9,9,24,9,21,4,26,14,15,4,13,8,21,15,9,22,10,12,12,27,7,26,14,11,16,2,2
20190218,000025.SZ,-0.004104979534714388,14,10,9,30,7,16,8,8,17,25,6,15,8,29,17,14,5,11,6,10,12,20,27,7,9,14,10,21,9,2
