date,code,layer2_l2_y_l_r_pred,layer2_l2_y_l_r_tree0_leaf,layer2_l2_y_l_r_tree1_leaf,layer2_l2_y_l_r_tree2_leaf,layer2_l2_y_l_r_tree3_leaf,layer2_l2_y_l_r_tree4_leaf,layer2_l2_y_l_r_tree5_leaf,layer2_l2_y_l_r_tree6_leaf,layer2_l2_y_l_r_tree7_leaf,layer2_l2_y_l_r_tree8_leaf,layer2_l2_y_l_r_tree9_leaf,layer2_l2_y_l_r_tree10_leaf,layer2_l2_y_l_r_tree11_leaf,layer2_l2_y_l_r_tree12_leaf,layer2_l2_y_l_r_tree13_leaf,layer2_l2_y_l_r_tree14_leaf,layer2_l2_y_l_r_tree15_leaf,layer2_l2_y_l_r_tree16_leaf,layer2_l2_y_l_r_tree17_leaf,layer2_l2_y_l_r_tree18_leaf,layer2_l2_y_l_r_tree19_leaf,layer2_l2_y_l_r_tree20_leaf,layer2_l2_y_l_r_tree21_leaf,layer2_l2_y_l_r_tree22_leaf,layer2_l2_y_l_r_tree23_leaf,layer2_l2_y_l_r_tree24_leaf,layer2_l2_y_l_r_tree25_leaf,layer2_l2_y_l_r_tree26_leaf,layer2_l2_y_l_r_tree27_leaf,layer2_l2_y_l_r_tree28_leaf,layer2_l2_y_l_r_tree29_leaf
20190222,000001.SZ,0.00041719842635771544,24,17,21,24,8,4,8,8,4,8,4,22,16,29,11,15,17,5,4,4,6,3,5,5,29,18,1,2,23,18
20190222,000002.SZ,-0.013301876856966854,11,17,14,27,8,4,12,2,9,8,4,24,16,8,2,15,26,5,27,12,7,13,6,14,21,18,23,28,16,18
20190222,000006.SZ,0.0075913083206037655,19,16,4,24,14,4,12,2,4,8,18,22,16,8,4,2,26,5,27,12,7,13,6,14,21,18,23,29,4,18
20190222,000008.SZ,0.025149701168244862,26,19,4,8,14,25,4,17,4,5,18,22,16,8,4,15,26,20,27,12,7,13,6,14,8,18,23,29,27,8
20190222,000009.SZ,0.027850829477937634,9,19,4,8,14,25,4,17,8,5,18,11,16,21,4,15,26,20,27,12,7,13,6,14,21,18,23,29,16,18
20190222,000011.SZ,0.024536618788794137,26,19,4,8,14,25,4,17,8,5,18,11,16,8,4,15,26,20,27,12,7,13,6,14,21,18,23,29,27,18
20190222,000012.SZ,0.030714223817455456,9,19,4,18,14,25,4,17,22,5,16,11,16,21,24,15,17,20,4,5,7,13,6,14,9,18,23,2,27,18
20190222,000016.SZ,-0.009469532134391058,11,17,14,27,8,4,12,2,4,8,4,24,16,8,2,15,26,5,27,12,7,13,6,14,21,18,23,29,27,18
20190222,000021.SZ,0.00985542309912351,19,16,4,24,14,4,8,2,4,8,18,22,16,8,4,15,26,5,27,12,7,13,6,14,21,18,23,29,16,18
20190222,000025.SZ,0.03171543112133172,9,9,9,8,14,25,4,17,8,5,18,11,16,21,24,15,26,20,27,12,7,13,6,14,21,18,23,10,27,18
20190222,000027.SZ,0.03409850684897953,26,19,4,18,14,25,4,17,22,14,18,11,16,8,4,15,17,20,4,5,6,3,5,14,9,17,23,7,23,18
20190222,000028.SZ,0.010419522793486666,19,16,21,24,8,4,8,8,4,8,18,22,16,8,4,15,17,5,4,5,7,13,6,14,9,18,23,7,16,19
20190222,000029.SZ,-0.006187787600450005,14,8,15,16,8,8,8,8,9,2,2,22,2,8,2,2,4,5,4,5,7,13,6,14,9,17,24,7,4,11
20190222,000030.SZ,0.028490118426749977,9,9,9,8,9,25,10,17,8,5,16,11,16,21,24,9,24,20,5,10,7,13,6,14,29,18,23,2,16,18
20190222,000031.SZ,0.012634350378428225,19,16,4,24,14,4,8,8,4,8,18,22,16,8,4,2,26,5,27,12,7,13,6,14,8,18,23,29,4,18
20190222,000034.SZ,-0.07866192843959934,30,2,30,14,12,14,19,25,2,26,9,4,2,17,2,25,28,14,2,3,5,13,8,0,21,10,23,28,4,8
20190222,000035.SZ,0.038839349623422906,9,9,9,8,9,25,4,17,8,5,18,11,16,21,24,15,26,20,27,11,7,13,6,14,8,18,23,6,4,8
20190222,000036.SZ,-0.003452153380550019,19,16,4,27,20,4,12,2,4,8,18,24,16,8,4,15,26,5,27,12,7,13,6,14,21,18,23,29,16,12
20190222,000039.SZ,0.006349330315899217,19,16,4,24,8,4,8,8,4,8,16,22,16,8,4,15,24,5,5,5,7,13,6,14,29,18,23,2,16,8
20190222,000040.SZ,0.02774460106130487,9,19,4,8,14,25,4,17,8,9,18,11,4,21,4,5,26,20,27,12,6,3,5,14,21,18,23,29,7,19
20190222,000042.SZ,0.029683252361820227,9,9,9,8,14,25,4,17,8,5,18,11,16,21,24,15,26,20,27,12,7,13,6,14,21,18,23,4,27,18
20190222,000043.SZ,0.06273182771305627,1,1,1,1,1,1,20,11,12,9,1,1,9,21,7,9,26,20,27,4,6,3,5,5,8,18,1,6,23,1
20190222,000046.SZ,0.010873986411510524,19,16,4,24,8,4,8,8,4,8,18,22,16,8,4,15,26,5,27,12,7,13,6,14,8,18,23,29,27,18
20190222,000049.SZ,0.010399930767919723,19,16,4,27,14,4,4,18,4,5,18,23,16,8,4,15,26,5,27,12,7,13,6,14,21,18,23,29,16,18
20190222,000050.SZ,-0.03961933326980096,8,13,23,25,2,14,2,24,2,2,9,13,13,8,2,23,14,14,20,23,8,3,13,0,6,10,1,13,23,16
20190222,000058.SZ,0.019420710689870946,9,9,9,8,9,9,10,11,8,9,8,16,1,21,16,1,5,23,2,12,0,3,8,20,5,10,23,3,23,18
20190222,000059.SZ,0.014292265495426709,19,16,4,24,14,4,8,8,4,8,18,22,16,8,4,15,17,5,4,5,7,13,6,14,9,18,23,7,27,18
20190222,000060.SZ,0.015054060514437969,19,16,4,24,14,4,8,8,4,8,18,22,16,8,4,15,17,5,4,5,7,13,6,14,9,18,23,7,16,18
20190222,000061.SZ,0.07055673535697961,1,21,25,1,1,1,20,1,12,1,1,1,1,1,24,1,26,20,27,12,6,3,5,14,21,18,23,29,23,18
20190222,000062.SZ,-0.019272597466240514,24,17,22,22,8,26,8,8,9,2,4,22,13,8,11,15,24,5,5,10,7,13,6,14,29,18,23,0,27,18
20190222,000063.SZ,0.02412273647803857,9,9,9,8,4,9,26,17,8,9,8,16,16,21,16,15,5,23,29,12,0,3,9,0,24,10,8,10,23,8
20190222,000065.SZ,-0.005759827989968325,24,17,21,22,8,26,8,8,9,2,4,22,13,8,2,15,17,5,4,5,7,13,6,14,29,18,23,2,27,18
20190222,000066.SZ,-0.043899303894698254,8,13,2,25,2,14,2,24,2,2,9,13,13,8,2,25,5,14,29,3,0,13,9,0,24,10,8,10,16,18
20190222,000069.SZ,0.019554812784188823,19,16,4,24,14,4,4,8,4,14,18,22,16,8,4,15,17,5,4,5,6,3,5,14,9,18,23,7,23,18
20190222,000070.SZ,0.02049473483698051,9,9,9,8,4,9,26,17,8,9,8,15,16,21,6,15,14,23,20,23,8,3,11,0,24,10,1,10,23,16
