date,code,layer2_l2_y_l_r_pred,layer2_l2_y_l_r_tree0_leaf,layer2_l2_y_l_r_tree1_leaf,layer2_l2_y_l_r_tree2_leaf,layer2_l2_y_l_r_tree3_leaf,layer2_l2_y_l_r_tree4_leaf,layer2_l2_y_l_r_tree5_leaf,layer2_l2_y_l_r_tree6_leaf,layer2_l2_y_l_r_tree7_leaf,layer2_l2_y_l_r_tree8_leaf,layer2_l2_y_l_r_tree9_leaf,layer2_l2_y_l_r_tree10_leaf,layer2_l2_y_l_r_tree11_leaf,layer2_l2_y_l_r_tree12_leaf,layer2_l2_y_l_r_tree13_leaf,layer2_l2_y_l_r_tree14_leaf,layer2_l2_y_l_r_tree15_leaf,layer2_l2_y_l_r_tree16_leaf,layer2_l2_y_l_r_tree17_leaf,layer2_l2_y_l_r_tree18_leaf,layer2_l2_y_l_r_tree19_leaf,layer2_l2_y_l_r_tree20_leaf,layer2_l2_y_l_r_tree21_leaf,layer2_l2_y_l_r_tree22_leaf,layer2_l2_y_l_r_tree23_leaf,layer2_l2_y_l_r_tree24_leaf,layer2_l2_y_l_r_tree25_leaf,layer2_l2_y_l_r_tree26_leaf,layer2_l2_y_l_r_tree27_leaf,layer2_l2_y_l_r_tree28_leaf,layer2_l2_y_l_r_tree29_leaf
20190221,000001.SZ,0.03173912349492248,27,20,14,22,8,14,5,10,14,27,21,21,14,11,28,8,7,15,22,21,6,7,8,5,30,27,6,1,25,21
20190221,000002.SZ,-0.04080159621783304,13,11,9,14,27,9,21,2,12,10,23,15,20,18,4,2,5,2,8,5,6,7,18,9,9,0,6,28,25,21
20190221,000006.SZ,0.00699082913307187,8,14,4,26,12,4,8,8,4,4,13,21,8,11,4,8,7,17,8,21,6,19,8,4,30,27,6,14,25,7
20190221,000008.SZ,-0.0073297044606471535,4,26,4,26,21,4,8,8,4,4,13,14,8,12,29,8,7,5,3,12,6,7,6,4,30,27,6,21,30,8
20190221,000009.SZ,0.03121860375859895,9,20,14,22,8,14,5,27,14,27,19,14,10,12,17,21,7,21,22,7,6,7,8,5,30,27,19,14,30,8
20190221,000011.SZ,0.019783740276692025,4,4,14,22,21,14,5,27,14,27,19,14,14,12,29,8,7,17,3,12,6,7,8,5,30,27,6,21,30,8
20190221,000012.SZ,0.04847456360717881,20,23,28,9,8,1,9,10,1,15,21,1,15,12,15,8,6,9,22,9,8,7,8,5,30,5,6,21,30,8
20190221,000016.SZ,-0.007427889327268487,8,14,4,26,12,4,8,8,4,4,13,14,8,12,4,8,7,5,3,12,6,7,6,4,30,27,6,14,30,8
20190221,000021.SZ,0.01585794910207283,4,4,4,22,21,14,5,27,14,27,17,14,7,12,29,8,6,17,3,9,8,19,8,5,30,5,19,14,30,8
20190221,000025.SZ,0.0276588998166578,9,20,14,22,8,14,5,10,14,27,19,14,14,12,29,8,10,17,22,12,12,19,20,5,30,27,6,15,30,8
20190221,000027.SZ,0.030424557073843186,4,4,14,4,21,6,5,27,14,27,21,14,14,12,28,8,7,15,9,22,6,7,17,4,30,27,6,1,9,8
20190221,000028.SZ,0.003213527230161272,4,4,4,16,21,4,8,8,4,4,13,14,7,12,28,22,13,4,3,23,2,7,17,9,6,8,6,25,30,8
20190221,000029.SZ,-0.006444381014852348,14,14,15,14,12,17,8,8,6,10,8,12,7,2,4,22,13,4,8,21,2,5,4,24,6,8,7,24,19,22
20190221,000030.SZ,0.014342706917600853,9,20,14,22,8,14,9,10,14,27,19,14,10,12,29,9,7,5,16,23,6,7,6,24,30,24,19,25,30,8
20190221,000031.SZ,-0.0027501444953176553,4,4,4,26,21,4,8,8,4,4,13,21,8,11,29,9,7,5,8,21,6,7,6,9,30,27,6,25,25,21
20190221,000034.SZ,-0.044370410317866,8,7,2,29,27,4,13,8,2,4,23,15,20,18,4,2,5,2,8,5,5,8,18,9,9,0,6,28,25,0
20190221,000035.SZ,0.0033540513322605553,4,4,4,26,21,4,8,27,4,4,5,21,7,11,2,22,13,5,8,21,2,7,17,9,30,27,7,25,19,21
20190221,000036.SZ,-0.009848637235029479,4,7,4,29,21,4,21,8,4,4,23,4,20,12,17,8,5,9,3,5,6,7,8,5,9,0,6,21,30,8
20190221,000039.SZ,0.01062580325393662,4,4,4,16,21,4,8,27,4,4,21,14,7,12,28,8,6,17,3,24,8,7,8,5,30,5,6,1,30,8
20190221,000040.SZ,-0.00897044886645729,4,7,4,29,21,4,2,8,4,4,23,4,20,4,17,8,6,9,3,9,8,7,8,5,8,5,6,1,30,4
20190221,000042.SZ,0.0030880150255114796,4,7,4,29,21,4,21,8,4,4,23,14,20,12,17,8,7,21,3,12,6,7,18,4,30,0,6,1,30,8
20190221,000043.SZ,0.03749951226528696,27,20,14,9,8,6,18,10,14,27,17,14,14,12,28,8,6,17,21,9,15,7,8,4,7,5,6,1,30,8
20190221,000046.SZ,0.022993958768526963,4,4,4,4,21,6,5,27,4,4,19,21,8,11,29,8,7,17,8,21,6,19,8,4,30,27,19,14,14,21
20190221,000049.SZ,-0.006669210917526485,8,7,4,29,27,4,21,8,4,4,23,14,20,12,4,8,10,21,3,12,12,7,18,4,30,4,6,15,30,8
20190221,000050.SZ,-0.04194857564314009,2,21,2,2,2,12,2,2,26,2,24,2,20,18,4,21,12,8,8,18,4,30,18,24,8,3,25,14,18,21
20190221,000058.SZ,-0.015567390486016212,4,7,4,29,21,4,21,8,4,4,23,4,20,4,17,8,30,2,3,18,7,30,18,5,9,0,6,14,30,4
