date,code,layer2_l2_y_l_r_pred,layer2_l2_y_l_r_tree0_leaf,layer2_l2_y_l_r_tree1_leaf,layer2_l2_y_l_r_tree2_leaf,layer2_l2_y_l_r_tree3_leaf,layer2_l2_y_l_r_tree4_leaf,layer2_l2_y_l_r_tree5_leaf,layer2_l2_y_l_r_tree6_leaf,layer2_l2_y_l_r_tree7_leaf,layer2_l2_y_l_r_tree8_leaf,layer2_l2_y_l_r_tree9_leaf,layer2_l2_y_l_r_tree10_leaf,layer2_l2_y_l_r_tree11_leaf,layer2_l2_y_l_r_tree12_leaf,layer2_l2_y_l_r_tree13_leaf,layer2_l2_y_l_r_tree14_leaf,layer2_l2_y_l_r_tree15_leaf,layer2_l2_y_l_r_tree16_leaf,layer2_l2_y_l_r_tree17_leaf,layer2_l2_y_l_r_tree18_leaf,layer2_l2_y_l_r_tree19_leaf,layer2_l2_y_l_r_tree20_leaf,layer2_l2_y_l_r_tree21_leaf,layer2_l2_y_l_r_tree22_leaf,layer2_l2_y_l_r_tree23_leaf,layer2_l2_y_l_r_tree24_leaf,layer2_l2_y_l_r_tree25_leaf,layer2_l2_y_l_r_tree26_leaf,layer2_l2_y_l_r_tree27_leaf,layer2_l2_y_l_r_tree28_leaf,layer2_l2_y_l_r_tree29_leaf
20190219,000001.SZ,0.03722963032072464,23,9,20,4,4,4,4,13,27,7,22,28,14,30,16,13,13,17,10,16,6,7,28,12,13,5,11,14,10,15
20190219,000002.SZ,0.00274765558703025,13,11,8,8,20,15,8,8,17,4,7,9,18,19,15,9,13,2,11,9,18,12,19,11,1,3,9,11,9,15
20190219,000006.SZ,0.02720854959293578,13,4,22,13,4,15,16,17,8,4,21,10,18,19,16,13,13,17,11,6,22,7,28,12,7,5,1,14,2,12
20190219,000008.SZ,0.05148357875439646,9,17,20,27,19,17,11,20,27,7,1,28,7,25,7,13,29,15,10,20,7,12,28,12,7,5,11,14,2,15
20190219,000009.SZ,0.06335818687167709,9,17,20,27,19,17,11,20,25,7,1,10,5,29,7,13,29,17,10,6,6,7,22,12,7,5,1,14,12,15
20190219,000011.SZ,0.11453560650428438,21,20,16,1,17,24,12,11,1,9,8,24,5,1,7,10,5,17,10,6,6,7,22,16,7,5,1,20,7,15
20190219,000012.SZ,0.066344634211178,9,17,20,27,19,17,11,20,26,7,21,10,5,29,7,13,5,17,10,6,6,7,22,12,13,5,1,14,12,15
20190219,000016.SZ,0.0409480426404727,23,9,20,4,19,17,4,13,27,7,26,28,18,30,16,13,29,15,10,16,7,12,28,12,7,5,11,14,10,12
20190219,000021.SZ,0.06880975424808042,9,17,20,27,19,17,11,20,26,7,1,10,5,29,7,13,7,17,10,6,6,7,22,12,7,5,1,14,12,15
20190219,000025.SZ,0.027324624994183023,23,9,20,4,4,4,4,13,20,7,26,28,18,25,16,4,13,15,10,20,7,12,18,11,7,3,11,14,2,12
