,上证综指,深证成指,中小板指,创业板指,上证50,沪深300,中证500,mean,max,argmax,min,argmin
1月1-10日,0.25315226929516166,0.3002402998638619,0.104790248543782,-0.1478111072454326,0.2745361786507335,0.27785299334058966,0.36288897172144147,0.20366426488144823,0.36288897172144147,中证500,-0.1478111072454326,创业板指
1月11-20日,-0.1488050669551571,-0.12573636535224875,0.13603756537226117,-0.11076580863814502,-0.06519848813448585,-0.03435421010157146,0.04941990865779045,-0.04277178073593666,0.13603756537226117,中小板指,-0.1488050669551571,上证综指
1月21-30日,-0.10174531165747855,-0.016706424392632004,-0.20054756168787014,-0.015182085344840288,-0.08155725317697247,-0.08493944205287697,-0.11273574366890297,-0.08763054599736762,-0.015182085344840288,创业板指,-0.20054756168787014,中小板指
2月1-10日,0.24911960608552652,0.40476667225048424,0.5424110423379941,0.5796271850883471,0.33867771401210295,0.3998842503775891,0.6133912064499407,0.4468396680859978,0.6133912064499407,中证500,0.24911960608552652,上证综指
2月11-20日,0.3785206614431335,0.5063135800893099,0.5977200281457362,0.6913530506340695,0.19688452024510344,0.384868339666617,0.6482877818006546,0.4862782802892321,0.6913530506340695,创业板指,0.19688452024510344,上证50
2月21-30日,-0.04106223254808796,-0.11040190118929666,-0.12945681412015533,0.022683477869099425,-0.15449648454822135,-0.10569766644136805,0.055285483532401515,-0.06616373392080406,0.055285483532401515,中证500,-0.15449648454822135,上证50
3月1-10日,0.03964920567975115,0.10506676373050854,0.18983489483624072,0.4434691583523802,-0.07649769789088702,-0.02346621557548782,0.19031064122439495,0.12405239290812868,0.4434691583523802,创业板指,-0.07649769789088702,上证50
3月11-20日,0.1633837140685432,0.15845274615045749,0.1372562732054364,0.32437542161016475,0.15198647900901432,0.11856336682732935,0.18241911422750945,0.17663387358549354,0.32437542161016475,创业板指,0.11856336682732935,沪深300
3月21-30日,0.02274997380143407,0.058441670396595057,0.07256917551205262,-0.26459033806138843,0.0191551131192138,0.03599434104696542,-0.016378552296774554,-0.010294088068843143,0.07256917551205262,中小板指,-0.26459033806138843,创业板指
4月1-10日,0.4442550874594341,0.5208872276859746,0.5080577544061615,0.28278382263757,0.49585422189077816,0.5895759841450033,0.6373344278790317,0.49696407515770763,0.6373344278790317,中证500,0.28278382263757,创业板指
4月11-20日,-0.06915588817706816,-0.1825110662555439,-0.07215039223477983,-0.10968161585380404,-0.11662697656157818,-0.09593329302764253,-0.09072177896458594,-0.1052544301535718,-0.06915588817706816,上证综指,-0.1825110662555439,深证成指
4月21-30日,-0.009388388863048668,-0.02739305191292176,-0.10656153215524908,-0.17938044207141732,0.17906395664000502,0.1158879896728829,-0.08008874845244644,-0.015408602448885046,0.17906395664000502,上证50,-0.17938044207141732,创业板指
